  10               # np, number of points
   2               # ndim, number of dimensions
 -10.00,   10.00   # xmin, xmax
 -10.00,   10.00   # ymin, ymax
-0.540685895074933E+001, -0.754304838639700E+001
-0.595068223490667E+001, -0.530111801594818E+001
-0.423093862076785E+001, -0.547243292514669E+001
 0.855027681950832E+001,  0.918624814032939E+001
 0.386005810408507E+001,  0.367735613235036E+001
-0.452971758389682E+001, -0.575790189406659E+001
 0.391183001898330E+001, -0.446384910713311E+001
-0.685079327369683E+001, -0.193837556143664E+001
 0.915274914868132E-001, -0.215663356773508E+000
-0.681398785754207E+001, -0.402368590262649E+001
